iter	Passed	Remaining
0	157	157371
1	172	85960
2	186	61980
3	201	50155
4	218	43399
5	230	38251
6	239	33909
7	245	30463
8	251	27684
9	256	25410
10	261	23502
11	265	21887
12	270	20519
13	274	19354
14	278	18320
15	283	17441
16	287	16642
17	292	15939
18	296	15331
19	301	14757
20	304	14212
21	308	13718
22	312	13271
23	316	12859
24	319	12472
25	323	12118
26	327	11784
27	330	11474
28	334	11187
29	337	10919
30	341	10673
31	345	10438
32	348	10222
33	352	10015
34	356	9818
35	359	9634
36	363	9456
37	366	9288
38	370	9130
39	374	8979
40	377	8835
41	381	8699
42	384	8567
43	388	8449
44	392	8337
45	396	8223
46	400	8114
47	403	8010
48	407	7911
49	411	7815
50	415	7726
51	419	7654
52	424	7579
53	428	7502
54	432	7436
55	437	7369
56	441	7305
57	445	7241
58	450	7182
59	454	7112
60	457	7045
61	461	6983
62	465	6917
63	468	6853
64	472	6793
65	476	6736
66	480	6686
67	484	6635
68	487	6580
69	491	6527
70	494	6475
71	498	6425
72	502	6376
73	505	6329
74	510	6295
75	514	6249
76	517	6204
77	521	6161
78	525	6120
79	528	6079
80	532	6037
81	535	5997
82	539	5961
83	543	5924
84	547	5892
85	550	5855
86	554	5820
87	558	5784
88	561	5749
89	565	5714
90	568	5681
91	572	5649
92	575	5617
93	579	5586
94	583	5556
95	587	5528
96	590	5499
97	594	5469
98	597	5441
99	601	5413
100	605	5385
101	608	5358
102	612	5332
103	616	5315
104	621	5295
105	625	5275
106	629	5254
107	634	5237
108	638	5221
109	662	5361
110	667	5342
111	670	5317
112	674	5293
113	678	5270
114	681	5245
115	685	5223
116	688	5199
117	692	5177
118	696	5155
119	699	5133
120	703	5113
121	707	5092
122	711	5074
123	715	5054
124	719	5037
125	723	5018
126	727	5000
127	731	4980
128	734	4961
129	738	4943
130	742	4924
131	746	4906
132	749	4888
133	753	4871
134	757	4854
135	761	4836
136	765	4823
137	769	4808
138	773	4792
139	777	4776
140	781	4760
141	785	4747
142	789	4731
143	793	4716
144	796	4699
145	800	4684
146	804	4669
147	808	4653
148	812	4638
149	816	4626
150	820	4613
151	824	4601
152	828	4589
153	833	4578
154	837	4564
155	840	4549
156	844	4535
157	848	4520
158	851	4506
159	855	4492
160	859	4479
161	863	4465
162	866	4451
163	870	4437
164	874	4424
165	877	4410
166	881	4397
167	885	4383
168	888	4370
169	892	4356
170	895	4343
171	899	4330
172	903	4318
173	906	4305
174	910	4292
175	914	4280
176	917	4268
177	921	4255
178	925	4243
179	928	4231
180	932	4218
181	936	4206
182	940	4197
183	953	4229
184	958	4220
185	962	4211
186	967	4205
187	971	4197
188	976	4189
189	980	4181
190	985	4173
191	989	4165
192	993	4155
193	998	4146
194	1002	4138
195	1006	4129
196	1012	4125
197	1016	4118
198	1021	4112
199	1026	4104
200	1030	4097
201	1035	4090
202	1039	4080
203	1043	4072
204	1047	4061
205	1051	4052
206	1055	4042
207	1059	4034
208	1063	4023
209	1066	4012
210	1070	4002
211	1073	3991
212	1077	3981
213	1081	3970
